Y,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,Philadelphia 76ers*,82,19930,41.0,89.0,.461,5.8,16.4,.355,35.2,72.6,.485,18.7,24.3,.770,11.2,33.9,45.0,24.4,8.2,4.7,14.0,20.9,106.6
2011,Los Angeles Clippers,82,19855,39.3,85.8,.457,6.7,19.8,.338,32.6,66.1,.493,20.1,28.5,.707,12.4,32.6,45.0,23.6,7.6,5.2,17.5,22.6,105.3
2011,Chicago Bulls*,82,19830,40.7,88.2,.462,6.8,19.0,.361,33.9,69.3,.489,20.0,26.9,.743,13.0,35.5,48.5,24.5,7.9,6.3,15.6,22.0,108.3
2011,Washington Wizards,82,19930,39.1,88.4,.443,5.0,15.2,.332,34.1,73.2,.465,19.1,25.7,.745,13.0,30.5,43.5,20.4,8.5,6.4,16.1,23.7,102.4
2011,Detroit Pistons,82,19880,41.4,90.0,.460,6.4,17.0,.376,35.0,73.0,.479,18.5,25.1,.737,12.6,30.3,42.9,23.4,8.1,4.4,14.4,22.1,107.7
2011,Boston Celtics*,82,19780,40.6,83.5,.486,5.5,15.0,.365,35.1,68.5,.513,19.6,25.4,.770,8.6,34.1,42.7,25.8,9.1,4.6,16.0,22.5,106.2
2011,Portland Trail Blazers*,82,19805,40.7,91.0,.447,7.1,20.7,.345,33.5,70.2,.477,20.3,25.3,.804,13.7,30.7,44.5,23.9,9.1,4.9,14.7,21.8,108.8
2011,Cleveland Cavaliers,82,19755,37.7,86.8,.434,6.6,19.4,.342,31.0,67.3,.461,20.2,27.1,.745,11.2,32.0,43.2,22.5,7.1,4.5,15.2,21.5,102.2
2011,Atlanta Hawks*,82,19730,40.5,87.6,.462,6.8,19.4,.352,33.6,68.1,.494,18.3,23.5,.779,10.4,33.5,43.9,24.5,6.8,4.6,15.2,21.2,106.1
2011,New Orleans Hornets*,82,19830,40.2,87.5,.459,6.1,16.8,.360,34.1,70.7,.482,19.8,25.9,.765,11.2,33.7,44.9,23.1,8.5,4.9,14.6,23.5,106.2
2011,New Jersey Nets,82,20005,38.9,88.6,.440,6.1,17.8,.343,32.8,70.7,.464,19.0,25.1,.759,12.1,32.6,44.7,23.0,6.1,5.1,15.4,24.1,103.1
2011,Charlotte Bobcats,82,19805,38.8,86.0,.451,5.3,16.3,.327,33.5,69.8,.480,20.4,27.0,.756,11.5,33.0,44.5,23.4,7.1,5.9,16.1,22.1,103.4
2011,Milwaukee Bucks,82,19830,37.9,88.2,.430,6.5,19.1,.342,31.4,69.2,.454,19.2,25.4,.757,11.6,33.4,45.1,20.8,8.3,5.4,14.9,22.7,101.6
2010,Phoenix Suns*,82,19730,42.6,86.6,.492,9.3,22.6,.412,33.3,64.0,.520,20.8,27.0,.770,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3
2010,Golden State Warriors,82,19730,40.4,86.0,.469,7.7,20.4,.375,32.7,65.5,.499,19.8,25.3,.782,9.1,29.1,38.2,22.3,9.2,4.1,14.6,22.9,108.1
2010,Denver Nuggets*,82,19780,40.0,85.5,.468,7.0,19.4,.359,33.0,66.1,.500,24.8,32.1,.772,11.4,32.1,43.5,22.0,8.7,5.3,14.5,23.6,111.8
2010,Utah Jazz*,82,19755,41.8,85.1,.491,5.7,15.6,.364,36.1,69.5,.519,21.4,28.9,.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,110.7
2010,Toronto Raptors,82,19780,41.7,86.5,.482,6.8,18.2,.371,35.0,68.2,.512,21.1,27.6,.764,10.5,32.7,43.2,23.5,6.1,5.0,14.3,23.7,111.3
2010,Orlando Magic*,82,19730,39.7,84.5,.470,11.1,29.6,.375,28.6,54.9,.521,20.8,28.8,.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4
2010,Memphis Grizzlies,82,19905,41.5,88.6,.469,4.4,13.1,.337,37.1,75.5,.492,20.8,28.4,.733,13.8,32.2,46.0,19.9,8.3,5.1,16.1,21.3,108.3
2010,Houston Rockets,82,19905,39.7,88.8,.447,8.3,23.6,.351,31.4,65.2,.481,20.0,25.9,.772,12.4,31.7,44.1,22.9,7.5,4.1,15.2,21.9,107.6
2010,New York Knicks,82,19880,40.2,88.3,.455,9.5,27.6,.346,30.6,60.8,.504,17.7,22.6,.782,10.7,31.8,42.6,22.8,7.5,3.9,14.7,21.0,107.6
2010,Cleveland Cavaliers*,82,19780,41.2,84.9,.485,8.0,21.0,.381,33.2,63.9,.520,20.8,29.0,.720,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2
2010,Dallas Mavericks*,82,19880,41.0,88.2,.464,7.3,19.6,.372,33.7,68.7,.491,19.9,24.4,.816,10.9,33.8,44.6,25.0,8.1,5.9,13.8,20.4,109.2
2010,Los Angeles Lakers*,82,19830,41.0,89.7,.457,6.9,20.4,.341,34.1,69.3,.492,19.8,25.9,.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8
2010,Atlanta Hawks*,82,19855,42.7,91.2,.468,7.0,19.5,.360,35.6,71.7,.497,19.5,25.7,.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9
2010,Oklahoma City Thunder*,82,19805,39.9,86.3,.462,5.4,16.0,.340,34.4,70.3,.490,23.1,28.8,.805,12.5,33.9,46.4,21.3,8.5,6.3,16.0,22.7,108.3
2010,San Antonio Spurs*,82,19780,41.7,88.1,.473,7.3,20.5,.358,34.4,67.7,.508,19.3,26.1,.740,11.7,34.7,46.4,24.2,6.8,5.0,14.8,22.1,110.0
2010,Indiana Pacers,82,19705,37.9,85.6,.443,8.3,23.8,.348,29.6,61.8,.479,19.6,25.3,.775,9.9,32.9,42.7,21.7,7.3,5.5,15.5,23.2,103.7
2010,New Orleans Hornets,82,19830,41.5,89.4,.464,7.5,20.5,.363,34.1,68.9,.495,16.9,21.7,.778,11.1,32.0,43.1,23.9,8.2,3.9,14.4,21.0,107.4
2010,Sacramento Kings,82,19880,40.4,88.6,.456,6.2,17.8,.349,34.2,70.8,.483,18.4,25.3,.726,12.5,32.3,44.9,21.6,7.2,4.7,15.7,23.5,105.3
2010,Boston Celtics*,82,19780,40.2,83.3,.483,6.6,19.0,.348,33.6,64.4,.523,20.6,27.7,.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7
2010,Minnesota Timberwolves,82,19780,39.2,87.4,.449,5.1,14.9,.341,34.1,72.5,.471,18.1,24.3,.746,12.1,32.3,44.4,20.5,7.5,3.9,16.8,21.5,101.7
2010,Portland Trail Blazers*,82,19855,41.0,88.9,.461,6.8,19.1,.354,34.2,69.8,.490,22.1,28.0,.790,12.6,32.8,45.4,23.1,7.2,4.8,13.9,23.6,110.8
2010,Philadelphia 76ers,82,19805,40.9,88.7,.460,6.3,18.3,.343,34.6,70.5,.491,18.1,23.9,.756,12.5,32.0,44.5,22.8,8.8,5.8,15.8,22.2,106.1
2010,Milwaukee Bucks*,82,19980,40.0,91.7,.436,8.5,23.8,.356,31.5,67.9,.464,16.6,21.9,.755,12.6,33.5,46.2,22.8,7.6,5.0,14.2,23.9,104.9
2010,Chicago Bulls*,82,19905,39.9,88.4,.451,4.6,13.8,.330,35.3,74.6,.474,19.2,25.4,.754,12.1,35.2,47.3,22.1,6.9,6.2,15.2,21.3,103.5
2010,Miami Heat*,82,19880,40.2,87.8,.458,6.7,19.2,.346,33.5,68.6,.489,19.6,26.0,.752,11.8,34.4,46.2,20.9,8.2,6.2,14.5,23.0,106.6
2010,Washington Wizards,82,19830,39.7,88.5,.449,5.7,16.2,.353,34.0,72.3,.471,19.1,25.0,.762,12.8,32.5,45.2,20.6,6.5,5.6,16.1,23.1,104.2
2010,Los Angeles Clippers,82,19705,39.5,86.8,.455,6.4,19.2,.332,33.1,67.7,.490,17.9,24.6,.730,12.2,32.9,45.1,23.8,7.0,6.1,16.9,20.8,103.3
2010,Charlotte Bobcats*,82,19880,38.2,84.3,.453,6.1,17.8,.346,32.0,66.5,.482,21.9,29.1,.751,11.5,33.3,44.7,22.2,8.4,6.0,17.2,21.3,104.4
2010,Detroit Pistons,82,19780,40.3,90.5,.445,5.1,16.3,.314,35.2,74.2,.474,19.9,27.4,.728,14.4,30.7,45.2,21.8,8.2,4.3,15.1,25.0,105.6
2010,New Jersey Nets,82,19780,37.4,87.0,.429,5.0,15.7,.318,32.4,71.3,.454,20.9,26.8,.780,11.9,31.3,43.2,20.5,7.6,5.2,15.7,21.8,100.6
